city,district,latitude,longitude,geohash,cold_price,currency,object_age,flat_area,room_count,distance_to_centre
Norderstedt,Harksheide,53.665723,9.944773,u1x163996pb5,1250,EUR,0,88,2,6.016562989
Kaltenkirchen,Schützenstraße 37,53.837227,9.97063,u1x46bu2sd88,1700,EUR,23,171.31,4,0.009182058
Hamburg,Altona-Altstadt,53.535767,9.890028,u1x091csqq73,790,EUR,125,41,2.5,3.968526719
Hamburg,Altona-Nord,53.561935,9.953068,u1x0dqxsgk37,1868.75,EUR,6,74.75,2.5,0.554544055
Hamburg,Bahrenfeld,53.609785,9.951551,u1x0frq7xuq2,1950,EUR,19,93,3,5.449919474
Hamburg,Eimsbüttel,53.566845,9.956182,u1x0dx9c7zek,1060,EUR,1,53.2,2,0.69118238
Hamburg,Othmarschen,53.560373,9.941963,u1x0dnreb90v,1777.77,EUR,,86,3,3.622012059
Hamburg,Hoheluft-West,53.579685,9.965747,u1x0fcbu69pw,1050,EUR,122,66,2,0.207944497
Hamburg,Stellingen,53.586552,9.928761,u1x0cgjukckc,532.5,EUR,8,25,1,1.137215346
Hamburg,Stellingen,53.586994,9.929297,u1x0cgnqc7sq,1303.44,EUR,9,79.61,3,1.089405429
Hamburg,St. Georg,53.559532,10.01238,u1x0ey4yck7t,1770,EUR,163,83,2,0.292502408
Hamburg,St. Georg,53.553341,10.014742,u1x0evhdb6kf,1402.53,EUR,9,78.72,2,0.424657574
Hamburg,St. Georg,53.499601,9.959465,u1x06ek3b27q,1345,EUR,1,62,2,7.352770683
Hamburg,Lokstedt,53.593063,9.96362,u1x0fsr61pj9,2596,EUR,-1,58.23,2,0.977092211
Hamburg,Uhlenhorst,53.517696,9.981824,u1x07nse1me7,3000,EUR,128,95,4.5,6.322729513
Hamburg,Uhlenhorst,53.537308,10.067573,u1x0t44vrmw9,1299,EUR,0,65.35,2,5.252060335
Hamburg,Osdorf,53.55254,9.81216,u1wbxkbypvhb,3700,EUR,25,197,5,3.961069876
Hamburg,Wilhelmsburg,53.502335,10.004602,u1x07ev1sn5g,786.9,EUR,123,54.12,2,1.24687556
Hamburg,Osdorf,53.55954,9.846534,u1x08n4nbvgu,890.44,EUR,71,65.91,3,1.829888208
Hamburg,Wilhelmsburg,53.501419,10.008016,u1x07exs7eme,591.99,EUR,125,44.78,2,1.280272556
Hamburg,Wilhelmsburg,53.501419,10.008016,u1x07exs7eme,640.47,EUR,123,43.51,2,1.280272556
Hamburg,Osdorf,53.57198,9.853141,u1x0b0qz6ufk,1750,EUR,0,80.4,3,0.511780399
Hamburg,Wilhelmsburg,53.503403,10.012806,u1x07ggpgm1q,484.24,EUR,49,85.4,4,1.652408097
Hamburg,Winterhude,53.59993,9.995292,u1x0gmw65pju,1460,EUR,93,94,3.5,0.687377988
Hamburg,Wilhelmsburg,53.50061,10.011207,u1x07g3zwh8c,948.94,EUR,0,52.55,2,1.355967428
Hamburg-Hamm,Hamm,53.559906,10.051065,u1x0swqcnf1k,1063.59,EUR,9,62.18,2,0.337788205
Hamburg,Eidelstedt,53.610298,9.90659,u1x0crmy87bu,1334.11,EUR,11,89,3,0.861113907
Hamburg,Barmbek-Nord,53.597153,10.034871,u1x0um54j3qp,3855,EUR,0,170,5,0.89414975
Hamburg,Niendorf,53.621521,9.941818,u1x141x2j0hb,898,EUR,28,66.5,2.5,1.249436178
Hamburg,Horn,53.55357,10.073308,u1x0tjphjj4b,758.91,EUR,63,63.56,3,1.032600308
Hamburg,Blankenese,53.509998,9.772317,u1wbqm5yr6xe,940,EUR,173,65,2,5.659274148
Hamburg,Bramfeld,53.596394,10.058269,u1x0uuujweuz,1003,EUR,4,60.91,2,2.650280958
Hamburg,Groß Borstel,53.64009,10.059036,u1x1huuu0t8b,550,EUR,87,50,2,5.904760702
Hamburg,Horn,53.543827,10.093792,u1x0teq56kuc,1000,EUR,67,51,2,1.182800043
Hamburg,Blankenese,53.570557,9.790833,u1wbyb1rngw5,1420,EUR,4,74,2,1.661315405
Hamburg,Schnelsen,53.698539,9.893014,u1x13pebevjy,1600,EUR,1,75,3,7.007833222
Hamburg,Eißendorf,53.475994,9.972493,u1x04zj8pzv9,2800,EUR,0,137,5,2.928381293
Hamburg-Bramfeld,Bramfeld,53.613453,10.077496,u1x1j241n8j8,685.71,EUR,5,76.19,3,1.229101224
Hamburg,Hummelsbüttel,53.634838,10.039692,u1x1h7yttf2z,2300,EUR,23,140,,0.545554914
Halstenbek,Wilhelmstr. 11B,53.63567,9.835962,u1wcpu466t8f,1299,EUR,22,119,3,
Hamburg,Jenfeld,53.579422,10.133762,u1x0y9g4vb0t,1230.16,EUR,2,81.14,2,0.398670894
Hamburg,Jenfeld,53.580654,10.133172,u1x0yd4cbjbd,1798.72,EUR,3,129.46,4,0.536951437
Hamburg,Jenfeld,53.579582,10.133807,u1x0y9g5wy40,1354.68,EUR,2,84.68,3,0.416484812
