city,district,cold_price,object_age,flat_area,room_count,distance_to_centre
Norderstedt,Harksheide,1250,0,88,2,6.016562989
Kaltenkirchen,Kaltenkirchen,1700,23,171.31,4,0.411129512
Hamburg,Altona-Altstadt,790,125,41,2.5,3.968526719
Hamburg,Altona-Nord,1868.75,6,74.75,2.5,0.554544055
Hamburg,Bahrenfeld,1950,19,93,3,5.449919474
Hamburg,Eimsbüttel,1060,1,53.2,2,0.69118238
Hamburg,Othmarschen,1777.77,,86,3,3.622012059
Hamburg,Hoheluft-West,1050,122,66,2,0.207944497
Hamburg,Stellingen,532.5,8,25,1,1.137215346
Hamburg,Stellingen,1303.44,9,79.61,3,1.089405429
Hamburg,St. Georg,1770,163,83,2,0.292502408
Hamburg,St. Georg,1402.53,9,78.72,2,0.424657574
Hamburg,St. Georg,1345,1,62,2,7.352770683
Hamburg,Lokstedt,2596,-1,58.23,2,0.977092211
Hamburg,Uhlenhorst,3000,128,95,4.5,6.322729513
Hamburg,Uhlenhorst,1299,0,65.35,2,5.252060335
Hamburg,Osdorf,3700,25,197,5,3.961069876
Hamburg,Wilhelmsburg,786.9,123,54.12,2,1.24687556
Hamburg,Osdorf,890.44,71,65.91,3,1.829888208
Hamburg,Wilhelmsburg,591.99,125,44.78,2,1.280272556
Hamburg,Wilhelmsburg,640.47,123,43.51,2,1.280272556
Hamburg,Osdorf,1750,0,80.4,3,0.511780399
Hamburg,Wilhelmsburg,484.24,49,85.4,4,1.652408097
Hamburg,Winterhude,1460,93,94,3.5,0.687377988
Hamburg,Wilhelmsburg,948.94,0,52.55,2,1.355967428
Hamburg-Hamm,Hamm,1063.59,9,62.18,2,0.337788205
Hamburg,Eidelstedt,1334.11,11,89,3,0.861113907
Hamburg,Barmbek-Nord,3855,0,170,5,0.89414975
Hamburg,Niendorf,898,28,66.5,2.5,1.249436178
Hamburg,Horn,758.91,63,63.56,3,1.032600308
Hamburg,Blankenese,940,173,65,2,5.659274148
Hamburg,Bramfeld,1003,4,60.91,2,2.650280958
Hamburg,Groß Borstel,550,87,50,2,5.904760702
Hamburg,Horn,1000,67,51,2,1.182800043
Hamburg,Blankenese,1420,4,74,2,1.661315405
Hamburg,Schnelsen,1600,1,75,3,7.007833222
Hamburg,Eißendorf,2800,0,137,5,2.928381293
Hamburg-Bramfeld,Bramfeld,685.71,5,76.19,3,0.811358157
Hamburg,Hummelsbüttel,2300,23,140,,0.545554914
Halstenbek,Halstenbek,1299,22,119,3,0.620622686
Hamburg,Jenfeld,1230.16,2,81.14,2,0.398670894
